Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Costa Rica,27-02-2022,"805,664","+1,037","8,031 ",+18,"664,367","+2,426","133,266",129,"155,797","1,553","3,635,922","703,106","5,171,230 ",North America
Azerbaijan,27-02-2022,"785,301","+1,041","9,400 ",+22,"764,283","+2,693","11,618",,"76,312",913,"6,551,104","636,606","10,290,675 ",Asia
Guatemala,27-02-2022,"776,991",+729,"16,971 ",+10,"716,900","+2,754","43,120",5,"42,080",919,"3,922,624","212,440","18,464,663 ",North America
Panama,27-02-2022,"755,262",+357,"8,079 ",+6,"740,813","+1,089","6,370",27,"170,591","1,825","5,513,584","1,245,354","4,427,324 ",North America
Saudi Arabia,27-02-2022,"744,374",+632,"8,996 ",+2,"722,468",+995,"12,910",609,"20,844",252,"40,641,112","1,138,013","35,712,345 ",Asia
Singapore,27-02-2022,"710,880","+14,228","1,007 ",+8,"650,359","+19,041","59,514",46,"119,947",170,"23,141,120","3,904,608","5,926,618 ",Asia
Latvia,27-02-2022,"649,504"," +5,427","5,230 ",+7,"513,598","+7,785","130,676",76,"350,776","2,825","6,703,408","3,620,290","1,851,622 ",Europe
Sri Lanka,27-02-2022,"645,037",+977,"16,190 ",+24,"608,719",+244,"20,128",,"29,915",751,"6,282,076","291,348","21,562,107 ",Asia
Paraguay,27-02-2022,"641,321",+769,"18,359 ",+13,"608,474","+1,203","14,488",151,"88,121","2,523","2,526,622","347,171","7,277,754 ",South America
Finland,27-02-2022,"637,729",,"2,364 ",,"46,000",," 589,365",39,"114,803",426,"9,903,704","1,782,848","5,554,991 ",Europe
Kuwait,27-02-2022,"619,310",+607,"2,537 ",+1,"606,657","+1,788","10,116",62,"141,549",580,"7,626,573","1,743,122","4,375,238 ",Asia
Myanmar,27-02-2022,"586,198","+1,959","19,365 ",+5,"533,395","+1,193","33,438",,"10,655",352,"7,100,472","129,065","55,014,511 ",Asia
Palestine,27-02-2022,"575,372",+590,"5,216 ",+4,"553,022","+2,645","17,134",104,"108,605",985,"3,078,533","581,092","5,297,838 ",Asia
Dominican Republic,27-02-2022,"574,292",+221,"4,368 ",,"568,031",,"1,893",40,"52,075",396,"3,103,088","281,377","11,028,235 ",North America
Venezuela,27-02-2022,"514,795",+480,"5,633 ",+2,"502,418","+1,112","6,744",230,"18,189",199,"3,359,014","118,683","28,302,347 ",South America
Bahrain,27-02-2022,"512,306","+2,916","1,453 ",+3,"485,005","+3,091","25,848",14,"284,698",807,"9,385,851","5,215,900","1,799,469 ",Asia
Moldova,27-02-2022,"501,312",+500,"11,213 ",+12,"475,918","+1,431","14,181",77,"124,754","2,790","3,009,636","748,960","4,018,418 ",Europe
Libya,27-02-2022,"493,548","+1,394","6,250 ",+9,"461,102","+3,466","26,196",128,"70,244", 890,"2,419,533","344,361","7,026,150 ",Africa
Estonia,27-02-2022,"492,149","+4,197","2,225 ",+12,"366,927","+2,794","122,997",27,"370,590","1,675","3,096,210","2,331,459","1,328,014 ",Europe
Egypt,27-02-2022,"482,248","+1,521","24,040 ",+48,"412,161","+1,213","46,047",122,"4,570",228,"3,693,367","34,998","105,532,272 ",Africa
Ethiopia,27-02-2022,"468,674",+49,"7,460 ",+2,"416,704",+61,"44,510",86,"3,916",62,"4,501,473","37,613","119,679,812 ",Africa
Mongolia,27-02-2022,"464,045",+320,"2,168 ",+1,"313,256",,"148,621",192,"137,872",644,"4,030,048","1,197,361","3,365,774 ",Asia
Armenia,27-02-2022,"419,693",+270,"8,449 ",+16,"400,840","+1,136"," 10,404",,"141,195","2,842","2,891,784","972,870","2,972,426 ",Asia
Honduras,27-02-2022,"411,212",,"10,720 ",,"127,663",,"272,829",105,"40,451","1,055","1,263,329","124,274","10,165,654 ",North America
Oman,27-02-2022," 381,381",+563,"4,242 ",+4,"367,204","+4,404","9,935",57,"71,665",797,"25,000,000","4,697,736","5,321,712 ",Asia
Bosnia and Herzegovina,27-02-2022,"371,067",+102,"15,435 ",+14,"192,218",,"163,414",,"114,281","4,754","1,694,736","521,942","3,246,982 ", Europe
Qatar,27-02-2022,"356,671",+308,668 ,+1,"352,553",+807,"3,450",23,"127,028",238,"3,372,268","1,201,034","2,807,805 ",Asia
Kenya,27-02-2022,"322,930",+24,"5,639 ",,"303,248",+40,"14,043",4,"5,794",101,"3,368,063","60,432","55,733,280 ",Africa
Cyprus,27-02-2022,"320,160","+1,387",854 ,+2,"124,370",,"194,936",60,"262,012",699,"9,477,138","7,755,876","1,221,930 ",Asia
 Zambia,27-02-2022,"312,707",+96,"3,952 ",+1,"306,846",+274,"1,909",3,"16,256",205,"3,268,486","169,911","19,236,469 ",Africa
North Macedonia,27-02-2022,"297,081",+378,"9,001 ",+7,"283,908",+497,"4,172",,"142,606","4,321","1,889,266","906,892","2,083,232 ",Europe
Réunion,27-02-2022,"292,126",,640 ,,"274,185",,"17,301",40,"322,469",706,"1,424,291","1,572,230","905,905 ",Africa
Albania,27-02-2022,"271,527",+102,"3,464 ",+2,"265,275",+208,"2,788",13,"94,524","1,206","1,742,017","606,428","2,872,587 ",Europe
Algeria,27-02-2022,"264,855",+77,"6,831 ",+3,"177,437",+71,"80,587",14,"5,864",151,"230,861","5,112","45,163,044 ",Africa
Botswana,27-02-2022,"263,950",,"2,619 ",,"259,434",,"1,897",1,"108,608","1,078","2,026,898","834,015","2,430,289 ",Africa
Nigeria,27-02-2022,"254,525",+24,"3,142 ",,"249,013",+20,"2,370",11,"1,186",15,"4,317,621","20,119"," 214,601,293 ",Africa
Uzbekistan,27-02-2022,"236,299",+125,"1,633 ",+3,"232,597",+548,"2,069",23,"6,895",48,"1,377,915","40,204","34,273,078 ",Asia
Zimbabwe,27-02-2022,"235,975",+172,"5,394 ",+1,"226,069",+196,"4,512",12,"15,503",354,"2,078,325","136,539","15,221,494 ",Africa
Montenegro,27-02-2022,"230,120",+109,"2,676 ",+2,"225,847",+210,"1,597",60,"366,318","4,260","1,168,531","1,860,132","628,198 ",Europe
Mozambique,27-02-2022,"225,038",+2,"2,192 ",,"219,321",+1,"3,525",13,"6,881",67,"1,268,201","38,777","32,705,391 ",Africa
Kyrgyzstan,27-02-2022,"200,478",+20,"2,956 ",+2,"195,056",+138,"2,466",131,"29,911",441,"1,907,195","284,547","6,702,560 ",Asia
Luxembourg,27-02-2022,"181,903",,988 ,,"171,378",,"9,537",8,"282,962","1,537","4,064,929","6,323,254","642,854 ",Europe
Afghanistan,27-02-2022,"173,565",+385," 7,596 ",+8,"155,919",+761,"10,050","1,124","4,298",188,"889,889","22,038","40,380,544 ",Asia
Hong Kong,27-02-2022,"171,314","+26,026",659 ,+82,"13,232",,"157,423",16,"22,548",87,"36,260,319","4,772,469","7,597,812 ",Asia
Maldives,27-02-2022,"169,632",+484,297 ,+1,"154,246",+618,"15,089",25,"304,919",534,"2,183,549","3,924,994","556,319 ",Asia
